,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
111,1807,11515,M5.3,2012.07.03_09:55_TAI,3.671817e+22,102.523,-0.00528797,12160.05,50.904,3685.592,70.248,-0.01200985,57.182,106.867,-0.14111683,76175550000000.0,23276770000000.0,9.905688e+23,48.131,1771.978027,4.955,324.348
112,1807,11515,M2.3,2012.07.03_12:24_TAI,3.754399e+22,99.205,-0.00703604,12074.6,51.147,3798.426,68.189,-0.01672285,57.068,104.375,-0.09447705,78520640000000.0,25134960000000.0,1.030721e+24,48.448,1801.308228,4.924,452.242
113,1807,11515,M1.3,2012.07.03_14:40_TAI,3.865081e+22,100.443,-0.00735291,12308.1,50.782,4083.297,68.951,-0.01737184,56.933,105.83,-0.03411654,82803340000000.0,33167500000000.0,1.073962e+24,48.441,1835.372803,5.013,483.086
114,1806,11513,M1.8,2012.07.03_16:39_TAI,2.128774e+22,105.095,-0.00737565,10573.58,40.196,1653.9,64.294,-0.01585824,51.959,105.996,0.20831054,34303340000000.0,8513991000000.0,4.689251e+23,41.644,1611.0625,3.985,246.295
115,1807,11515,M4.6,2012.07.03_22:09_TAI,4.110343e+22,101.994,-0.00762712,12173.28,50.609,4339.817,69.269,-0.01726952,56.555,107.789,-0.09364434,86536720000000.0,22256610000000.0,1.103827e+24,48.161,1879.780396,4.946,520.749
116,1807,11515,M1.2,2012.07.03_23:55_TAI,4.125064e+22,106.239,-0.00798243,12506.72,50.173,4475.27,72.19,-0.01687887,56.335,112.563,-0.0798063,86830560000000.0,16191070000000.0,1.089898e+24,47.667,1873.176147,5.018,523.791
117,1807,11515,M2.4,2012.07.04_01:10_TAI,4.128248e+22,106.665,-0.00865107,12611.42,50.045,4556.606,72.978,-0.01795762,56.351,113.685,-0.10677945,87533510000000.0,16809820000000.0,1.089039e+24,47.676,1877.615601,5.033,562.51
118,1807,11515,M2.2,2012.07.04_02:42_TAI,4.170481e+22,105.987,-0.0073698,12619.99,49.952,4639.564,72.565,-0.01549722,56.058,113.196,-0.11001305,88886070000000.0,18208010000000.0,1.105031e+24,47.47,1882.099609,5.038,485.905
119,1807,11515,M4.7,2012.07.04_03:36_TAI,4.178135e+22,104.898,-0.0074714,12476.17,50.34,4541.616,71.579,-0.01604573,56.028,112.579,-0.1441789,89253640000000.0,18654500000000.0,1.107399e+24,47.65,1896.230713,5.103,499.321
120,1807,11515,M1.1,2012.07.04_06:58_TAI,4.332153e+22,104.467,-0.00739227,12051.8,49.08,4726.728,69.388,-0.01643802,55.102,113.0,-0.05581639,92794130000000.0,19385360000000.0,1.13521e+24,47.149,1916.788452,5.144,524.275
121,1807,11515,M1.8,2012.07.04_10:48_TAI,4.203432e+22,105.812,-0.00821774,13003.28,49.106,4732.623,71.573,-0.01730275,54.996,114.98,-0.1375466,89356740000000.0,12952970000000.0,1.138248e+24,47.188,1964.534058,5.12,541.656
122,1807,11515,M6.1,2012.07.04_11:44_TAI,4.252178e+22,104.762,-0.00941511,12953.34,48.73,4772.585,71.984,-0.02040768,55.11,113.441,-0.10408808,90942340000000.0,19500780000000.0,1.165959e+24,47.327,1967.09314,5.153,638.109
123,1807,11515,M1.2,2012.07.04_13:18_TAI,4.335682e+22,106.076,-0.00972228,12977.22,47.923,4950.334,72.717,-0.0210518,54.553,115.579,-0.14375766,92233180000000.0,24549080000000.0,1.17931e+24,46.586,2018.394165,5.167,665.247
124,1807,11515,M1.6,2012.07.04_20:14_TAI,4.875697e+22,105.652,-0.00717934,13081.83,46.329,5736.518,69.663,-0.01505286,52.913,118.304,-0.06768037,101213200000000.0,11601240000000.0,1.312515e+24,45.569,2083.491211,5.227,542.37
125,1807,11515,M1.6,2012.07.04_21:45_TAI,4.852143e+22,108.764,-0.00445587,14154.26,45.943,5940.574,73.015,-0.0086872,52.511,121.666,-0.07432126,100906000000000.0,9482683000000.0,1.341671e+24,44.956,2088.731201,5.222,318.037
126,1807,11515,M2.9,2012.07.05_01:40_TAI,4.923497e+22,111.15,-0.00862113,14239.6,45.281,6005.229,73.482,-0.01578401,51.92,126.462,-0.19330014,101123500000000.0,22974980000000.0,1.317385e+24,44.495,2062.770752,5.188,600.548
127,1807,11515,M1.0,2012.07.05_02:51_TAI,4.982278e+22,111.69,-0.00818201,14249.53,44.112,5938.25,73.873,-0.01483748,51.479,126.828,-0.1868587,100441300000000.0,17841330000000.0,1.319249e+24,43.839,2088.598145,5.223,570.384
128,1807,11515,M1.5,2012.07.05_08:23_TAI,5.169924e+22,109.635,-0.0110793,13612.34,41.454,5799.562,69.781,-0.02075925,50.216,123.01,-0.07850229,98732430000000.0,22266570000000.0,1.326982e+24,42.976,2157.718262,5.227,813.243
129,1807,11515,M1.8,2012.07.05_10:29_TAI,5.061316e+22,111.299,-0.01255252,13947.92,41.254,5724.233,72.142,-0.02264198,50.141,124.5,-0.14396289,96084510000000.0,21034510000000.0,1.29705e+24,42.792,2160.382568,5.181,878.915
130,1807,11515,M1.2,2012.07.05_13:30_TAI,5.255163e+22,110.324,-0.01463567,13422.19,38.981,6006.415,70.241,-0.02722453,48.807,123.354,-0.12662914,99343390000000.0,35151470000000.0,1.307056e+24,41.578,2223.464355,5.193,1073.16
131,1807,11515,M1.3,2012.07.05_18:55_TAI,5.901982e+22,105.934,-0.0121278,13049.73,36.525,6554.001,66.381,-0.02275972,47.362,120.613,-0.07056749,108740600000000.0,29461630000000.0,1.433693e+24,40.53,2249.925293,5.278,1003.26
