HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
1256 11389 M1.5 2011.12.30_16:26_TAI 6.525096e+22 87.428 0.00223854 5106.508 23.069 3996.915 41.882 0.0071961 39.41 90.118 -0.04330122 9.632892e+13 1.177426e+13 7.856564e+23 33.982 2061.943359 4.633 259.331
1321 11401 M1.0 2012.01.16_04:53_TAI 8.585639e+22 61.705 -0.00648891 8157.333 28.979 4269.887 37.337 -0.0142655 42.325 69.739 0.00198389 7.89578e+13 2.840118e+13 1.328541e+24 35.453 2156.873779 0.0 795.747
1350 11410 M1.0 2012.02.05_20:00_TAI 2.989834e+22 83.043 -0.00015572 4425.488 17.294 1544.95 35.734 -0.00050354 36.0 87.2 -0.1256679 3.656702e+13 5.229244e+12 3.003153e+23 29.925 696.774658 4.122 7.957
1449 11429 M2.1 2012.03.04_19:16_TAI 4.402456e+22 77.259 -0.01824893 12420.26 39.492 3211.511 50.923 -0.03201709 48.973 90.694 0.0494459 5.578504e+13 4.317304e+13 9.66735e+23 43.35 1324.382446 4.826 1069.497
1449 11429 M1.8 2012.03.04_19:30_TAI 4.481996e+22 77.282 -0.01865742 12066.98 38.531 3320.802 51.261 -0.03177444 48.311 90.013 0.07932483 5.641877e+13 4.297886e+13 9.347184e+23 42.866 1328.875977 4.839 1088.194
1449 11429 M1.3 2012.03.04_22:34_TAI 4.697775e+22 78.488 -0.02010728 13115.92 40.115 3571.854 52.005 -0.03583089 48.945 91.939 0.01309422 6.089206e+13 4.734364e+13 1.107993e+24 43.246 1379.710815 4.879 1278.944
1449 11429 M1.3 2012.03.05_00:28_TAI 4.881734e+22 80.355 -0.02287007 13006.38 39.742 4027.111 54.105 -0.03886739 48.821 96.153 -0.03938779 6.591608e+13 5.2865e+13 1.113905e+24 43.255 1422.027832 4.905 1474.822
1449 11429 M1.2 2012.03.05_01:44_TAI 4.917023e+22 80.911 -0.02384039 13602.04 40.331 4160.7 54.557 -0.04078092 49.272 96.483 0.00813966 6.798012e+13 5.572838e+13 1.18432e+24 43.434 1460.973755 4.923 1563.0
1449 11429 M1.0 2012.03.05_04:05_TAI 4.982554e+22 81.298 -0.02267543 13461.38 40.834 4389.073 54.756 -0.04027428 49.803 97.405 -0.03148611 7.272356e+13 5.604348e+13 1.224059e+24 44.003 1499.648071 5.006 1552.564
1449 11429 M1.0 2012.03.05_07:55_TAI 5.036531e+22 82.389 -0.02349708 13786.05 41.246 4373.3 55.001 -0.04049674 49.95 97.177 -0.06516133 7.262253e+13 5.539859e+13 1.244337e+24 44.361 1563.955444 5.01 1596.956
1449 11429 M2.1 2012.03.05_12:41_TAI 4.922632e+22 81.94 -0.02413555 14631.29 41.753 4341.768 57.09 -0.03989685 49.739 97.849 0.02697377 7.056582e+13 5.531733e+13 1.249685e+24 44.356 1552.681885 4.95 1552.23
1449 11429 M1.0 2012.03.05_22:53_TAI 5.475894e+22 84.474 -0.02976453 15901.82 45.298 5112.459 56.485 -0.05019824 50.881 100.633 0.00087835 8.196335e+13 8.04107e+13 1.562438e+24 45.757 1696.176147 5.14 2202.099
1461 11432 M2.8 2012.03.13_15:21_TAI 1.197181e+22 116.374 0.00327314 2776.308 25.402 1108.328 60.913 0.01412354 43.656 113.345 0.15395635 2.855292e+13 2.542427e+12 9.074595e+22 35.776 642.784607 3.787 80.555
1464 11434 M1.3 2012.03.16_20:39_TAI 3.274438e+21 128.643 -0.0016309 3701.861 20.303 240.822 70.697 -0.00534384 44.096 125.777 0.47819659 5.831525e+12 1.460085e+12 2.883864e+22 30.638 241.32724 1.791 9.567
1603 11466 M1.0 2012.04.26_08:24_TAI 1.136075e+22 107.953 -0.00180737 6825.826 41.724 954.167 68.454 -0.00486292 53.896 106.461 0.14861058 2.163352e+13 1.606392e+12 1.838473e+23 42.484 640.428589 3.502 36.653
1621 11471 M1.9 2012.05.06_14:31_TAI 2.17798e+22 104.543 0.00527545 6605.0 29.653 1493.866 52.752 0.01501432 44.876 105.649 0.01651699 3.571096e+13 5.590391e+12 3.358083e+23 37.243 1043.385986 3.982 201.96
1638 11476 M1.4 2012.05.07_13:08_TAI 6.083389e+22 79.571 -0.01239874 10863.74 35.484 4658.708 49.893 -0.02494086 45.548 91.354 -0.14299995 8.324143e+13 4.00595e+13 1.217583e+24 39.261 2070.157715 4.893 1046.342
1638 11476 M4.7 2012.05.08_12:32_TAI 5.573628e+22 88.993 -0.00920736 12289.54 39.69 4709.273 55.158 -0.01974344 48.638 97.167 -0.03140248 9.139625e+13 3.05177e+13 1.365175e+24 42.278 2101.604492 5.036 770.113
1638 11476 M1.8 2012.05.08_14:08_TAI 5.714053e+22 89.366 -0.00909946 11892.7 39.946 4888.023 55.131 -0.02035301 48.792 97.063 0.01009613 9.788475e+13 3.288657e+13 1.396051e+24 42.441 2103.246338 4.998 804.283
1638 11476 M4.1 2012.05.08_21:05_TAI 6.00078e+22 92.637 -0.016276 13037.78 40.332 5357.041 56.936 -0.03390463 48.572 101.136 -0.058216 9.956055e+13 6.260793e+13 1.55277e+24 41.985 2200.788086 5.012 1459.518
