Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_cme,24,100.0,0.005,0.4215,0.1067,0.3361,0.0767
only_cme,24,1000.0,1.0,0.1784,0.09,0.2049,0.0929
only_cme,24,1000.0,0.1,0.257,0.1137,0.2426,0.1008
only_cme,24,1000.0,0.01,0.4036,0.0957,0.3245,0.0695
only_cme,24,1000.0,0.07,0.2816,0.1013,0.2599,0.0831
only_cme,24,1000.0,0.001,0.4217,0.1057,0.3299,0.072
only_cme,24,1000.0,0.005,0.4254,0.0988,0.3437,0.0684
only_cme,24,10000.0,1.0,0.1784,0.09,0.2049,0.0929
only_cme,24,10000.0,0.1,0.2544,0.1082,0.2445,0.1001
only_cme,24,10000.0,0.01,0.386,0.0887,0.3188,0.0645
only_cme,24,10000.0,0.07,0.2362,0.1,0.2272,0.0939
only_cme,24,10000.0,0.001,0.4195,0.1053,0.3404,0.0798
only_cme,24,10000.0,0.005,0.402,0.0951,0.3198,0.0688
only_cme,24,100000.0,1.0,0.1784,0.09,0.2049,0.0929
only_cme,24,100000.0,0.1,0.2583,0.1083,0.2487,0.1005
only_cme,24,100000.0,0.01,0.3285,0.0848,0.2864,0.0638
only_cme,24,100000.0,0.07,0.2437,0.0984,0.2347,0.0916
only_cme,24,100000.0,0.001,0.4456,0.0887,0.3556,0.058
only_cme,24,100000.0,0.005,0.3711,0.0796,0.3077,0.0582
only_flares,36,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,36,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.1,0.2696,0.058,0.2684,0.0569
only_flares,36,0.01,0.01,0.3096,0.057,0.3066,0.0569
only_flares,36,0.01,0.07,0.271,0.0624,0.272,0.0612
only_flares,36,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.005,0.16,0.0711,0.156,0.0721
only_flares,36,0.1,1.0,0.2949,0.0913,0.2944,0.0897
only_flares,36,0.1,0.1,0.3071,0.0533,0.306,0.0525
only_flares,36,0.1,0.01,0.3114,0.0614,0.3099,0.0609
only_flares,36,0.1,0.07,0.3081,0.0586,0.3069,0.0579
only_flares,36,0.1,0.001,0.282,0.0569,0.2771,0.0561
only_flares,36,0.1,0.005,0.3167,0.0606,0.3153,0.0596
only_flares,36,1.0,1.0,0.3585,0.0782,0.3569,0.0772
only_flares,36,1.0,0.1,0.3313,0.0674,0.3298,0.0677
only_flares,36,1.0,0.01,0.3244,0.0528,0.3233,0.0525
only_flares,36,1.0,0.07,0.3182,0.0592,0.3173,0.0596
only_flares,36,1.0,0.001,0.3151,0.063,0.3137,0.0625
only_flares,36,1.0,0.005,0.3221,0.0529,0.3214,0.0525
only_flares,36,10.0,1.0,0.3215,0.0979,0.3212,0.0973
only_flares,36,10.0,0.1,0.3236,0.1012,0.323,0.1013
only_flares,36,10.0,0.01,0.3316,0.0634,0.3306,0.0633
only_flares,36,10.0,0.07,0.3275,0.0809,0.3269,0.0813
only_flares,36,10.0,0.001,0.3256,0.0533,0.3252,0.0534
only_flares,36,10.0,0.005,0.3301,0.0577,0.3289,0.0573
only_flares,36,100.0,1.0,0.3125,0.0902,0.3126,0.09
only_flares,36,100.0,0.1,0.2899,0.0899,0.2894,0.0898
only_flares,36,100.0,0.01,0.343,0.0662,0.3422,0.0661
only_flares,36,100.0,0.07,0.2903,0.098,0.2898,0.0979
