datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Temporal,RandomOverSampler,24,l1,10.0,0.24476315202121657,0.20924040339994615,0.3182710360129715,0.040535411105125284,0.7401300880898583,0.08194413026253862,0.5630341880341881,0.18211660178034494
Temporal,RandomOverSampler,24,l2,0.001,0.09576489818425304,0.15517064502670255,0.35829493087557607,0.06003365874558368,0.7955005120327701,0.06434728495666148,0.45405982905982906,0.1314449957556284
Temporal,RandomOverSampler,24,l2,0.01,0.20586671393123004,0.14765299718892103,0.3689196108550947,0.05189054886480641,0.765733792474573,0.05431999189045772,0.5747863247863249,0.16049839280524716
Temporal,RandomOverSampler,24,l2,0.05,0.21438089986477085,0.1855595705366078,0.3475849121010411,0.02853392932252778,0.7626351520840768,0.070951693444573,0.561965811965812,0.1933258895088465
Temporal,RandomOverSampler,24,l2,0.1,0.17431597673533158,0.2093937748110775,0.36094043352107863,0.04200552423664626,0.7807705026455026,0.08432696109400857,0.5352564102564102,0.2206267718892007
Temporal,RandomOverSampler,24,l2,1.5,0.22451488177294632,0.21145914922041287,0.3235620413039768,0.05784731938904232,0.7489236435314867,0.09537215784301585,0.548076923076923,0.19428294692797232
Temporal,RandomOverSampler,24,l2,10.0,0.23942947733270317,0.20148882327809733,0.3236047107014849,0.05726932601188769,0.7434515484515485,0.07894339811574559,0.5630341880341881,0.18211660178034494
Temporal,RandomOverSampler,36,l1,0.001,,,,,,,,
Temporal,RandomOverSampler,36,l1,0.01,,,,,,,,
Temporal,RandomOverSampler,36,l1,0.05,0.1709746346843121,0.07811903049846892,0.4946236559139785,0.08415309592741146,0.783212684825588,0.03359663821856675,0.6655982905982906,0.06164261425962245
Temporal,RandomOverSampler,36,l1,0.1,0.19468569065343258,0.0958742276698363,0.37903225806451607,0.07608049300045648,0.7614957957710207,0.05027644404500742,0.5737179487179486,0.08771751399617952
Temporal,RandomOverSampler,36,l1,1.5,0.33154121863799285,0.1366296348412574,0.27956989247311825,0.055613335660153765,0.6942387196904152,0.05789323556403049,0.6111111111111112,0.14274719739435116
